first,add_cross
ORION,1
OSBORNE,1
OSO,1
OVERLAND,1
OWENSMOUTH,1
OXFORD,1
OXNARD,1
PACIFIC,1
PALA,1
PALOMA,1
PALOS,1
PARK,1
PARTHENIA,1
PASADENA,1
PAXTON,1
PEARL,1
PICO,1
PLAYGROUND,1
POENSETTA,1
POINSETTIA,1
POLK,1
PONTIUS,1
PORTLAND,1
PURDUE,1
RADFORD,1
RALSTON,1
RAMPART,1
RAVEN,1
RAYMER,1
REGAN,1
REMMET,1
RESEDA,1
RESERVOIR,1
RETFORD,1
RINALDI,1
RIVERSIDE,1
ROBERTSON,1
ROCHESTER,1
ROMAINE,1
ROSCOE,1
ROSE,1
ROSEMONT,1
ROSEWOOD,1
ROXFORD,1
ROYER,1
RUNNYMEDE,1
SACRAMENTO,1
SAINT,1
SALE,1
SALTAIR,1
SAN,1
SANTA,1
SANTE,1
SANTO,1
SATICOY,1
SAWTELLE,1
SCHOENBORN,1
SCHRADER,1
SELBY,1
SELMA,1
SEPULVEDA,1
SERRANO,1
SESNON,1
SHERMAN,1
SIERRA,1
SILVER,1
SLAUSON,1
SNELLING,1
SOTO,1
SPEEDWAY,1
SPRING,1
ST,1
STAGG,1
STANFORD,1
STATION,1
STERN,1
STOCKER,1
STONER,1
STRATHERN,1
SUNLAND,1
SUNNYSLOPE,1
SUNSET,1
SYCAMORE,1
SYLMAR,1
TEMPLE,1
TENNESSEE,1
TERRA,1
TEXAS,1
THORNTON,1
TOBIAS,1
TOLUCA,1
TOPANGA,1
TORRANCE,1
TOWNE,1
TRUESDALE,1
TRUMAN,1
TUJUNGA,1
TULLER,1
TUPPER,1
TYRONE,1
UNION,1
UNK,1
UNKOWN,1
VALERIO,1
VALLEY,1
VAN,1
VANALDEN,1
VANOWEN,1
VARIEL,1
VASSAR,1
VENICE,1
VENTURA,1
VERMONT,1
VERNON,1
VESPER,1
VETERAN,1
VIA,1
VIAMARINA,1
VICTORY,1
VINE,1
VINTAGE,1
VISTA,1
VOSE,1
W,1
WADSWORTH,1
WALL,1
WALTON,1
WASHINGTON,1
WAVE,1
WENTWORTH,1
WEST,1
WESTCHESTER,1
WESTERN,1
WESTLAKE,1
WESTMINSTER,1
WESTMORELAND,1
WESTMORLAND,1
WESTWOOD,1
WEYMOUTH,1
WHITE,1
WHITSETT,1
WHITTIER,1
WILL,1
WILLARD,1
WILLIS,1
WILLOUGHBY,1
WILMINGTON,1
WILSHIRE,1
WINDWARD,1
WINNETKA,1
WINSTON,1
WITMER,1
WOODLEY,1
WOODMAN,1
WYANDOTTE,1
YUCCA,1
