address_geo,count,perc,cumperc,geocode_yes,latitude,longitude,,
Zones1-5 and Ocean Front WALK Los Angeles 90291,1,2.48E-04,0.957383548,,33.992701,-118.47882,,
Flower St and 54th  ST Los Angeles 90037,1,2.48E-04,0.683845391,1,33.9933,-118.280921,,
Flower to Grand and 54th ST Los Angeles,3,7.43E-04,0.135530228,1,33.993312,-118.28051,,
Flower to Grand and 54th ST Los Angeles 90037,3,7.43E-04,0.136273538,1,33.993312,-118.28051,,
Flower to Grand and 54th st Los Angeles,1,2.48E-04,0.696729435,1,33.993312,-118.28051,,
Flower/ Grand and 54th  Los Angeles 90037,1,2.48E-04,0.697472745,1,33.993312,-118.28051,,
Grand Ave. to Flower St. and 54th ST Los Angeles 90037,1,2.48E-04,0.724479683,1,33.993312,-118.28051,,
abh and sunset Los Angeles 90291,7,0.00173439,0.030227948,,33.99338,-118.4759,,
abh and sunset  Los Angeles 90291,1,2.48E-04,0.959861249,,33.99338,-118.4759,,
Between San Pedro & Avalon and 54th  ST Los Angeles 90011,1,2.48E-04,0.626362735,1,33.993387,-118.268047,,
47th to Slauson and Grand/Flower Los Angeles 90037,1,2.48E-04,0.522547076,1,33.99347,-118.280495,,
OCEAN FRONT  WALK Los Angeles 90291,1,2.48E-04,0.82309217,,33.993842,-118.479864,,
Ocean Front Walk and OHS Venice Los Angeles 90291,1,2.48E-04,0.826808722,,33.993842,-118.479864,,
Ocean Front Walk Los Angeles 90291,1,2.48E-04,0.826560951,,33.993842,-118.479864,,
Ocean Frontwalk and OHS Venice Los Angeles 90291,1,2.48E-04,0.827056492,,33.993842,-118.479864,,
OFW and OFW Los Angeles 90291,1,2.48E-04,0.823339941,,33.993842,-118.479864,,
OFW and Venice Los Angeles 90291,1,2.48E-04,0.823587711,,33.993842,-118.479864,,
Lincoln and Venice Los Angeles 90048,1,2.48E-04,0.780971259,1,33.994096,-118.452872,,
Paloma and Pacific  Los Angeles,1,2.48E-04,0.835976214,1,33.99422,-118.477526,,
Between Dudley and Rose Ct. and Ocean Front WALK Los Angeles 90291,1,2.48E-04,0.625619425,1,33.994225,-118.479479,,
between Dudley Ave & Rose Ave (Zone 1 & 4) and Ocean Front WALK Los Angeles 90291,1,2.48E-04,0.974727453,1,33.994225,-118.479479,,
grand & flower and 55th- 51st Los Angeles 90037,1,2.48E-04,0.984638256,1,33.994594,-118.280518,,
Rose and Ocean Front  WALK Los Angeles 90291,1,2.48E-04,0.861248761,1,33.99467,-118.480486,,
Rose and Oceanfront Los Angeles,1,2.48E-04,0.861496531,1,33.99467,-118.480486,,
grand and 55th-51st Los Angeles 90037,1,2.48E-04,0.985133796,1,33.994705,-118.280093,,
4th Ave to Hampton Drive and Sunset AVE Los Angeles 90291,1,2.48E-04,0.525768087,,33.99498,-118.475457,,
Hampton Dr. and Sunset  AVE Los Angeles 90291,1,2.48E-04,0.744549058,,33.99498,-118.475457,,
Main/Hampton and Sunset Los Angeles,1,2.48E-04,0.803270565,,33.99498,-118.475457,,
Sunset / Hampton and Los Angeles 90291,1,2.48E-04,0.894945491,,33.99498,-118.475457,,
Sunset Ave and Hampton AVE Los Angeles 90291,1,2.48E-04,0.895193261,,33.99498,-118.475457,,
Sunset Ave and Pacific and Main ST Los Angeles 90291,1,2.48E-04,0.895441031,,33.99498,-118.475457,,
Sunset Ave to Rose Ave and Hampton AVE Los Angeles 90291,1,2.48E-04,0.895688801,,33.99498,-118.475457,,
