latitude,longitude
34.0898,-118.2118
34.2355,-118.5639
34.0525,-118.2813
33.9763,-118.2921
34.0997,-118.3363
34.2106,-118.504
34.0318,-118.2308
34.2972,-118.4555
34.2569,-118.4733
34.2752,-118.4269
34.2039,-118.4484
34.1687,-118.3843
34.2262,-118.3781
34.2028,-118.6055
33.9927,-118.4788
34.2435,-118.4221
34.194,-118.3671
34.0431,-118.2447
34.1568,-118.4138
34.0567,-118.2373
34.1524,-118.3667
34.2229,-118.4265
34.0493,-118.1961
34.2781,-118.4367
34.0286,-118.2498
34.0531,-118.2418
33.7765,-118.2611
33.7716,-118.2661
34.1017,-118.3137
34.2614,-118.4981
34.0169,-118.2596
34.0743,-118.2721
34.2407,-118.5993
34.0331,-118.3564
34.2454,-118.4252
34.0614,-118.3597
34.0187,-118.2771
34.0621,-118.2711
34.2587,-118.3909
34.0989,-118.3327
33.9485,-118.3081
33.9739,-118.2901
34.0449,-118.2455
34.0379,-118.3
34.1531,-118.3675
34.0758,-118.2871
34.0596,-118.2577
34.0419,-118.2485
34.2039,-118.3929
34.1635,-118.6279
33.9975,-118.4751
34.0374,-118.4342
34.1974,-118.6029
33.9906,-118.28
33.9753,-118.2868
34.2761,-118.4293
34.0389,-118.2761
34.2572,-118.5973
34.0116,-118.3362
34.2389,-118.6012
33.9778,-118.4304
34.265,-118.333
33.9834,-118.2798
33.988,-118.4637
34.2047,-118.4498
34.2355,-118.5776
34.0262,-118.2449
34.015,-118.4321
34.2391,-118.5442
34.0299,-118.3908
34.1995,-118.4664
34.2283,-118.536
34.1735,-118.5622
33.9939,-118.294
34.1731,-118.5622
34.2589,-118.5969
34.2459,-118.4076
34.1904,-118.5346
34.068,-118.3082
34.0451,-118.4443
34.0057,-118.4596
34.0858,-118.26
34.1925,-118.4749
34.0346,-118.2323
34.2742,-118.3965
34.2126,-118.5789
33.9735,-118.291
34.1112,-118.1914
34.2726,-118.4624
34.0238,-118.2348
34.2301,-118.5545
34.1017,-118.2926
34.0685,-118.3621
34.0601,-118.2932
34.0819,-118.2937
34.2611,-118.3253
34.0783,-118.1658
34.0028,-118.2737
34.0247,-118.1949
34.0533,-118.2821
34.223,-118.5099
33.9737,-118.2827
34.1674,-118.3799
33.9283,-118.2782
34.0667,-118.2703
34.2576,-118.5198
34.0001,-118.2805
33.8525,-118.296
33.7421,-118.2874
34.1035,-118.3224
34.1687,-118.3682
34.0454,-118.2466
34.0573,-118.2729
34.0873,-118.2254
34.226,-118.3978
34.2186,-118.3631
34.0283,-118.2487
34.0991,-118.2879
34.1833,-118.3963
34.1026,-118.3183
34.2432,-118.5824
34.0101,-118.2794
34.073,-118.3788
34.0392,-118.4636
33.9231,-118.2832
34.069,-118.3079
34.0534,-118.2829
34.2793,-118.4173
34.0396,-118.2452
34.2291,-118.469
34.0697,-118.2899
34.0412,-118.3094
