latitude,longitude,dataset
34.66,-118.113,LAHSA
33.988,-118.181,LAHSA
34.187,-118.446,LAHSA
34.058,-118.238,LAHSA
34.044,-118.241,LAHSA
34.183,-118.449,LAHSA
33.776,-118.262,LAHSA
34.004,-117.867,LAHSA
33.891,-118.15,LAHSA
33.777,-118.253,LAHSA
34.012,-118.418,LAHSA
34.674,-118.167,LAHSA
33.99,-118.459,LAHSA
33.762,-118.293,LAHSA
34.055,-118.245,LAHSA
34.054,-118.253,LAHSA
34.007,-118.273,LAHSA
34.054,-118.284,LAHSA
34.041,-118.24,LAHSA
34.168,-118.365,LAHSA
34.036,-118.375,LAHSA
34.046,-118.244,LAHSA
34.181,-118.453,LAHSA
34.01,-118.335,LAHSA
34.04,-118.285,LAHSA
34.002,-118.265,LAHSA
33.975,-118.291,LAHSA
34.205,-118.42,LAHSA
34.039,-118.24,LAHSA
34.061,-118.242,LAHSA
34.052,-118.242,LAHSA
34.099,-118.325,LAHSA
34.096,-118.338,LAHSA
33.866,-118.064,LAHSA
34.044,-117.75,LAHSA
34.044,-118.264,LAHSA
33.967,-118.082,LAHSA
34.135,-117.939,LAHSA
34.152,-118.352,LAHSA
34.061,-118.121,LAHSA
33.936,-118.212,LAHSA
34.189,-118.321,LAHSA
33.964,-118.231,LAHSA
33.811,-118.18,LAHSA
33.899,-118.308,LAHSA
33.916,-118.315,LAHSA
34.065,-118.115,LAHSA
34.201,-118.409,LAHSA
33.982,-118.04,LAHSA
34.063,-118.122,LAHSA
34.193,-118.381,LAHSA
34.2,-118.409,LAHSA
34.674,-118.158,LAHSA
34.201,-118.5,LAHSA
33.982,-118.249,LAHSA
34.044,-118.244,LAHSA
34.583,-118.135,LAHSA
34.04,-118.245,LAHSA
34.696,-118.172,LAHSA
34.183,-118.306,LAHSA
34.662,-118.149,LAHSA
34.052,-118.305,LAHSA
34.603,-118.182,LAHSA
34.024,-118.156,LAHSA
34.045,-118.241,LAHSA
34.084,-118.36,LAHSA
34.069,-117.94,LAHSA
34.074,-118.216,LAHSA
33.794,-118.29,LAHSA
34.704,-118.123,LAHSA
34.278,-118.498,LAHSA
34.197,-119.126,LAHSA
34.013,-118.279,LAHSA
34.198,-118.387,LAHSA
34.12,-118.272,LAHSA
34.051,-118.244,LAHSA
34.036,-118.31,LAHSA
33.916,-118.111,LAHSA
34.15,-118.365,LAHSA
34.212,-118.449,LAHSA
34.18,-118.444,LAHSA
34.066,-117.749,LAHSA
34.011,-118.418,LAHSA
33.874,-118.134,LAHSA
34.026,-117.746,LAHSA
34.183,-118.377,LAHSA
34.201,-118.366,LAHSA
33.979,-118.206,LAHSA
34.704,-118.151,LAHSA
34.042,-118.249,LAHSA
34.187,-118.369,LAHSA
33.732,-118.28,LAHSA
34.2,-118.431,LAHSA
34.159,-118.442,LAHSA
34.057,-118.447,LAHSA
33.917,-118.308,LAHSA
34.055,-118.445,LAHSA
34.483,-117.902,LAHSA
33.896,-118.351,LAHSA
33.994,-118.479,LAHSA
34.152,-118.367,LAHSA
34.59,-118.119,LAHSA
34.002,-117.961,LAHSA
33.907,-118.339,LAHSA
33.986,-118.309,LAHSA
34.685,-118.134,LAHSA
34.588,-118.094,LAHSA
33.892,-118.159,LAHSA
34.066,-118.236,LAHSA
34.106,-117.902,LAHSA
34.056,-118.206,LAHSA
33.912,-118.31,LAHSA
34.071,-118.03,LAHSA
33.882,-118.129,LAHSA
33.986,-118.473,LAHSA
34.053,-118.243,LAHSA
34.041,-118.251,LAHSA
34.099,-118.336,LAHSA
34.228,-118.475,LAHSA
34.185,-118.15,LAHSA
34.184,-118.446,LAHSA
33.941,-118.181,LAHSA
34.672,-118.128,LAHSA
34.072,-118.261,LAHSA
34.172,-118.562,LAHSA
34.685,-118.131,LAHSA
34.041,-118.249,LAHSA
33.927,-118.352,LAHSA
33.922,-118.1,LAHSA
34.959,-116.419,LAHSA
34.061,-118.298,LAHSA
33.896,-118.16,LAHSA
33.735,-118.289,LAHSA
34.058,-118.211,LAHSA
34.061,-118.312,LAHSA
33.857,-118.103,LAHSA
34.145,-118.413,LAHSA
34.164,-118.361,LAHSA
34.697,-118.148,LAHSA
34.184,-118.45,LAHSA
33.793,-118.29,LAHSA
34.062,-118.108,LAHSA
34.054,-117.728,LAHSA
33.885,-118.125,LAHSA
34.052,-117.988,LAHSA
34.168,-118.6,LAHSA
34.195,-118.451,LAHSA
34.171,-118.57,LAHSA
34.051,-117.987,LAHSA
34.147,-117.928,LAHSA
33.737,-118.284,LAHSA
33.988,-118.268,LAHSA
33.981,-118.033,LAHSA
33.834,-118.093,LAHSA
34.145,-118.411,LAHSA
34.557,-118.043,LAHSA
34.259,-118.315,LAHSA
34.702,-118.236,LAHSA
33.93,-118.291,LAHSA
34.701,-118.146,LAHSA
34.005,-118.46,LAHSA
34.06,-117.79,LAHSA
34.039,-118.268,LAHSA
34.18,-118.445,LAHSA
34.701,-118.137,LAHSA
34.582,-118.135,LAHSA
34.054,-118.444,LAHSA
34.05,-118.299,LAHSA
33.733,-118.28,LAHSA
33.731,-118.28,LAHSA
34.114,-118.27,LAHSA
34.054,-118.241,LAHSA
34.044,-118.263,LAHSA
34.052,-118.458,LAHSA
33.926,-118.111,LAHSA
34.027,-118.273,LAHSA
34.159,-117.911,LAHSA
34.228,-118.472,LAHSA
34.142,-118.255,LAHSA
34.16,-117.917,LAHSA
34.159,-117.915,LAHSA
34.003,-118.244,LAHSA
34.22,-118.428,LAHSA
33.829,-118.174,LAHSA
33.901,-118.09,LAHSA
33.961,-118.354,LAHSA
34.067,-118.291,LAHSA
33.945,-118.165,LAHSA
33.949,-118.352,LAHSA
34.734,-118.166,LAHSA
34.2,-118.553,LAHSA
33.974,-118.366,LAHSA
33.742,-118.292,LAHSA
34.205,-118.43,LAHSA
33.994,-118.478,LAHSA
34.297,-118.417,LAHSA
33.79,-118.315,LAHSA
34.558,-118.045,LAHSA
34.581,-118.116,LAHSA
33.929,-118.157,LAHSA
33.79,-118.153,LAHSA
34.16,-117.911,LAHSA
34.228,-118.496,LAHSA
34.181,-118.452,LAHSA
34.138,-117.938,LAHSA
34.173,-118.466,LAHSA
34.183,-118.448,LAHSA
34.718,-118.236,LAHSA
33.841,-118.131,LAHSA
34.148,-117.926,LAHSA
33.998,-118.46,LAHSA
34.054,-117.75,LAHSA
34.585,-118.114,LAHSA
34.193,-118.367,LAHSA
33.782,-118.248,LAHSA
34.699,-118.142,LAHSA
34.014,-118.128,LAHSA
34.062,-117.752,LAHSA
33.956,-118.351,LAHSA
34.018,-118.425,LAHSA
34.209,-118.388,LAHSA
34.155,-118.431,LAHSA
34.209,-118.389,LAHSA
34.003,-118.308,LAHSA
34.122,-117.907,LAHSA
33.987,-118.312,LAHSA
34.049,-117.944,LAHSA
34.202,-118.605,LAHSA
34.703,-118.262,LAHSA
34.221,-118.445,LAHSA
34.045,-118.245,LAHSA
33.959,-118.417,LAHSA
34.066,-118.27,LAHSA
34.017,-118.11,LAHSA
33.967,-118.064,LAHSA
33.914,-118.11,LAHSA
34.042,-118.246,LAHSA
34.062,-118.121,LAHSA
34.203,-118.605,LAHSA
34.027,-118.257,LAHSA
33.947,-118.182,LAHSA
34.215,-118.409,LAHSA
34.101,-118.301,LAHSA
34.168,-118.361,LAHSA
34.082,-117.719,LAHSA
34.024,-118.278,LAHSA
33.928,-118.246,LAHSA
33.987,-118.474,LAHSA
34.685,-118.135,LAHSA
33.988,-118.309,LAHSA
34.058,-118.276,LAHSA
34.055,-117.939,LAHSA
34.04,-118.252,LAHSA
33.944,-118.369,LAHSA
34.059,-118.249,LAHSA
34.17,-118.479,LAHSA
34.154,-117.919,LAHSA
34.037,-117.749,LAHSA
34.159,-117.912,LAHSA
33.938,-118.167,LAHSA
33.929,-118.238,LAHSA
34.263,-118.496,LAHSA
34.177,-118.381,LAHSA
33.929,-118.246,LAHSA
33.995,-118.28,LAHSA
34.037,-118.265,LAHSA
34.037,-118.243,LAHSA
34.178,-118.381,LAHSA
33.972,-118.033,LAHSA
34.264,-118.423,LAHSA
33.996,-118.28,LAHSA
34.264,-118.467,LAHSA
34.022,-118.134,LAHSA
34.096,-118.29,LAHSA
34.799,-118.13,LAHSA
34.157,-117.91,LAHSA
34.068,-118.3,LAHSA
34.068,-118.126,LAHSA
34.673,-118.16,LAHSA
33.985,-118.437,LAHSA
34.704,-118.165,LAHSA
34.04,-118.347,LAHSA
34.171,-118.562,LAHSA
34.158,-117.918,LAHSA
34.022,-118.211,LAHSA
34.083,-117.752,LAHSA
34.048,-118.14,LAHSA
34.191,-118.449,LAHSA
34.704,-118.236,LAHSA
34.043,-117.75,LAHSA
34.257,-118.597,LAHSA
34.041,-118.309,LAHSA
34.064,-117.648,LAHSA
33.97,-118.149,LAHSA
34.206,-118.423,LAHSA
34.558,-118.041,LAHSA
33.987,-118.037,LAHSA
34.077,-117.888,LAHSA
34.561,-118.105,LAHSA
34.05,-117.749,LAHSA
33.84,-118.391,LAHSA
33.996,-118.073,LAHSA
33.993,-118.071,LAHSA
33.795,-118.289,LAHSA
34.201,-118.466,LAHSA
34.004,-118.462,LAHSA
33.902,-118.066,LAHSA
34.583,-118.134,LAHSA
34.704,-118.16,LAHSA
34.504,-117.903,LAHSA
34.022,-118.216,LAHSA
34.217,-118.366,LAHSA
34.047,-117.945,LAHSA
33.793,-118.289,LAHSA
34.076,-117.888,LAHSA
33.938,-118.241,LAHSA
34.053,-118.273,LAHSA
34.094,-118.326,LAHSA
33.957,-118.351,LAHSA
34.098,-118.344,LAHSA
34.036,-118.036,LAHSA
34.06,-118.262,LAHSA
34.03,-118.248,LAHSA
33.926,-118.291,LAHSA
34.037,-118.262,LAHSA
34.167,-118.614,LAHSA
34.038,-118.242,LAHSA
33.938,-118.037,LAHSA
34.055,-118.255,LAHSA
33.939,-118.168,LAHSA
34.321,-118.433,LAHSA
34.696,-118.188,LAHSA
34.179,-118.439,LAHSA
34.167,-118.605,LAHSA
34.58,-118.063,LAHSA
34.112,-118.268,LAHSA
33.895,-118.352,LAHSA
33.995,-118.481,LAHSA
33.777,-118.26,LAHSA
33.923,-118.326,LAHSA
33.954,-118.232,LAHSA
34.073,-118.322,LAHSA
33.901,-118.352,LAHSA
33.971,-118.347,LAHSA
34.691,-118.188,LAHSA
33.901,-118.353,LAHSA
34.146,-117.93,LAHSA
33.738,-118.303,LAHSA
34.052,-118.002,LAHSA
34.089,-118.292,LAHSA
34.146,-117.928,LAHSA
34.076,-118.287,LAHSA
33.929,-118.253,LAHSA
34.197,-118.377,LAHSA
34.19,-118.448,LAHSA
34.056,-118.239,LAHSA
34.088,-118.34,LAHSA
33.918,-118.407,LAHSA
33.904,-118.082,LAHSA
33.774,-118.262,LAHSA
34.096,-118.328,LAHSA
34.184,-118.483,LAHSA
33.737,-118.285,LAHSA
33.775,-118.26,LAHSA
34.029,-118.27,LAHSA
34.725,-118.136,LAHSA
34.099,-118.211,LAHSA
34.096,-118.329,LAHSA
34.703,-118.178,LAHSA
34.031,-118.011,LAHSA
34.059,-117.743,LAHSA
33.935,-118.253,LAHSA
34.689,-118.148,LAHSA
34.189,-118.317,LAHSA
34.14,-118.362,LAHSA
33.907,-118.146,LAHSA
34.023,-117.985,LAHSA
34.069,-118.26,LAHSA
34.12,-117.882,LAHSA
33.781,-118.254,LAHSA
34.187,-118.45,LAHSA
33.73,-118.28,LAHSA
33.98,-118.214,LAHSA
34.715,-118.134,LAHSA
34.036,-118.13,LAHSA
34.089,-118.169,LAHSA
34.715,-118.15,LAHSA
34.021,-118.276,LAHSA
33.997,-118.079,LAHSA
34.075,-118.043,LAHSA
34.116,-118.228,LAHSA
34.053,-118.241,LAHSA
34.026,-118.272,LAHSA
34.199,-118.375,LAHSA
34.087,-118.073,LAHSA
34.069,-118.264,LAHSA
34.713,-118.112,LAHSA
34.657,-118.105,LAHSA
33.929,-118.249,LAHSA
34.186,-118.448,LAHSA
33.775,-118.261,LAHSA
34.058,-118.279,LAHSA
33.904,-118.08,LAHSA
34.069,-118.289,LAHSA
34.582,-118.137,LAHSA
34.714,-118.136,LAHSA
34.038,-118.243,LAHSA
34.726,-118.137,LAHSA
34.703,-118.128,LAHSA
34.709,-118.142,LAHSA
34.04,-118.21,LAHSA
34.205,-118.535,LAHSA
33.781,-118.255,LAHSA
34.056,-118.008,LAHSA
34.025,-118.275,LAHSA
34.052,-117.942,LAHSA
34.719,-118.137,LAHSA
34.016,-118.276,LAHSA
34.044,-118.247,LAHSA
33.974,-118.308,LAHSA
34.704,-118.188,LAHSA
33.928,-118.232,LAHSA
34.037,-118.248,LAHSA
34.095,-118.328,LAHSA
33.955,-118.02,LAHSA
33.944,-118.163,LAHSA
